日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng),权重(%)weight
20220831,000300,沪深300,CSI 300,601966,玲珑轮胎,"Shandong Linglong Tyre Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.071
20220831,000300,沪深300,CSI 300,600919,江苏银行,"Bank of Jiangsu Co., Ltd",上海证券交易所,Shanghai  Exchange,0.448
20220831,000300,沪深300,CSI 300,300529,健帆生物,"Jafron Biomedical Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.119
20220831,000300,沪深300,CSI 300,603986,兆易创新,GigaDevice Semiconductor (Beijing) Inc.,上海证券交易所,Shanghai  Exchange,0.405
20220831,000300,沪深300,CSI 300,002812,恩捷股份,"Yunnan Energy New Material Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.541
20220831,000300,沪深300,CSI 300,603160,汇顶科技,"Shenzhen Huiding Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.068
20220831,000300,沪深300,CSI 300,600926,杭州银行,"BANK OF HANGZHOU CO., LTD",上海证券交易所,Shanghai  Exchange,0.222
20220831,000300,沪深300,CSI 300,601229,上海银行,"Bank of Shanghai Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.308
20220831,000300,沪深300,CSI 300,002821,凯莱英,"Asymchem Laboratories (Tianjin) Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.185
20220831,000300,沪深300,CSI 300,300595,欧普康视,AUTEK CHINA INC.,深圳证券交易所,Shenzhen  Exchange,0.1
20220831,000300,沪深300,CSI 300,002841,视源股份,Guangzhou Shiyuan Electronic Technology Company Limited,深圳证券交易所,Shenzhen  Exchange,0.118
20220831,000300,沪深300,CSI 300,601881,中国银河,"China Galaxy Securities Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.067
20220831,000300,沪深300,CSI 300,300601,康泰生物,"Shenzhen Kangtai Biological Products Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.119
20220831,000300,沪深300,CSI 300,300628,亿联网络,YEALINK NETWORK TECHNOLOGY CORPORATION LIMITED,深圳证券交易所,Shenzhen  Exchange,0.135
20220831,000300,沪深300,CSI 300,603833,欧派家居,Oppein Home Group Inc.,上海证券交易所,Shanghai  Exchange,0.125
20220831,000300,沪深300,CSI 300,603501,韦尔股份,"Will Semiconductor CO.,Ltd. Shanghai",上海证券交易所,Shanghai  Exchange,0.349
20220831,000300,沪深300,CSI 300,300661,圣邦股份,SG Micro Corp.,深圳证券交易所,Shenzhen  Exchange,0.209
20220831,000300,沪深300,CSI 300,601878,浙商证券,"ZHESHANG SECURITIES CO., LTD.",上海证券交易所,Shanghai  Exchange,0.111
20220831,000300,沪深300,CSI 300,603882,金域医学,"Guangzhou Kingmed Diagnostics Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.098
20220831,000300,沪深300,CSI 300,603260,合盛硅业,"HOSHINE SILICON INDUSTRY CO.,LTD",上海证券交易所,Shanghai  Exchange,0.126
20220831,000300,沪深300,CSI 300,603659,璞泰来,"Shanghai Putailai New Energy Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.231
20220831,000300,沪深300,CSI 300,002916,深南电路,"Shennan Circuits Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.091
20220831,000300,沪深300,CSI 300,600025,华能水电,HuanengLancang River Hydropower Inc.,上海证券交易所,Shanghai  Exchange,0.069
20220831,000300,沪深300,CSI 300,002920,德赛西威,"Huizhou Desay SV Automotive Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.222
20220831,000300,沪深300,CSI 300,601838,成都银行,"BANK OF CHENGDU CO., LTD.",上海证券交易所,Shanghai  Exchange,0.178
20220831,000300,沪深300,CSI 300,601360,三六零,360 Security Technology Inc.,上海证券交易所,Shanghai  Exchange,0.11
20220831,000300,沪深300,CSI 300,603259,药明康德,"WuXi AppTec Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.963
20220831,000300,沪深300,CSI 300,300454,深信服,Sangfor Technologies Inc.,深圳证券交易所,Shenzhen  Exchange,0.126
20220831,000300,沪深300,CSI 300,603486,科沃斯,"Ecovacs Robotics Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.098
20220831,000300,沪深300,CSI 300,601138,工业富联,"Foxconn Industrial Internet Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.193
20220831,000300,沪深300,CSI 300,300750,宁德时代,"Contemporary Amperex Technology Co., Limited.",深圳证券交易所,Shenzhen  Exchange,3.536
20220831,000300,沪深300,CSI 300,601066,中信建投,"China Securities Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.181
20220831,000300,沪深300,CSI 300,002938,鹏鼎控股,"Avary Holding (Shenzhen) Co., Limited",深圳证券交易所,Shenzhen  Exchange,0.108
20220831,000300,沪深300,CSI 300,300760,迈瑞医疗,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.758
20220831,000300,沪深300,CSI 300,300751,迈为股份,"Suzhou Maxwell Technologies Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.17
20220831,000300,沪深300,CSI 300,601319,中国人保,The People's Insurance Company (Group) of China Limited,上海证券交易所,Shanghai  Exchange,0.083
20220831,000300,沪深300,CSI 300,603185,上机数控,"Wuxi Shangji Automation Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.136
