-------------------- starting training ---------------------
finishing episode #418; episode reward: 0.6946734112624819
finishing episode #419; episode reward: 0.7024817923898787
finishing episode #420; episode reward: 0.6526914861045333
finishing episode #421; episode reward: 0.7599161117265757
finishing episode #422; episode reward: 0.7544991890827965
finishing episode #423; episode reward: 0.7433926146021623
finishing episode #424; episode reward: 0.7012581500897411
finishing episode #425; episode reward: 0.8063636230146998
finishing episode #426; episode reward: 0.7978003999283677
finishing episode #427; episode reward: 0.7446987323623554
finishing episode #428; episode reward: 0.7501898937055582
finishing episode #429; episode reward: 0.7650337814742256
finishing episode #430; episode reward: 0.7677916473182027
finishing episode #431; episode reward: 0.7670867904292675
finishing episode #432; episode reward: 0.712753188048424
finishing episode #433; episode reward: 0.7421310247368684
finishing episode #434; episode reward: 0.7529103593574371
finishing episode #435; episode reward: 0.6706871593363808
finishing episode #436; episode reward: 0.791577827851206
finishing episode #437; episode reward: 0.6932603484543283
finishing episode #438; episode reward: 0.7057205339694161
finishing episode #439; episode reward: 0.739168571226732
finishing episode #440; episode reward: 0.6709694609660936
finishing episode #441; episode reward: 0.6319542352965819
finishing episode #442; episode reward: 0.71378385307036
finishing episode #443; episode reward: 0.6799978203361461
finishing episode #444; episode reward: 0.7234492083941134
finishing episode #445; episode reward: 0.7800933314099566
finishing episode #446; episode reward: 0.787116266936022
finishing episode #447; episode reward: 0.7555545219220895
finishing episode #448; episode reward: 0.7012007807914635
finishing episode #449; episode reward: 0.5752947775433864
finishing episode #450; episode reward: 0.6440282519057339
finishing episode #451; episode reward: 0.6653595934764827
finishing episode #452; episode reward: 0.7576547326695954
finishing episode #453; episode reward: 0.6746788830329588
finishing episode #454; episode reward: 0.7270145799016592
finishing episode #455; episode reward: 0.7692971320752512
finishing episode #456; episode reward: 0.7179283189122103
finishing episode #457; episode reward: 0.6657240681822718
finishing episode #458; episode reward: 0.7139585398326378
finishing episode #459; episode reward: 0.6904976031576062
finishing episode #460; episode reward: 0.7693589751703789
finishing episode #461; episode reward: 0.7252834835518657
finishing episode #462; episode reward: 0.7150257819611139
finishing episode #463; episode reward: 0.6463352725820131
finishing episode #464; episode reward: 0.699352217009061
finishing episode #465; episode reward: 0.7968092204952845
finishing episode #466; episode reward: 0.7767096058984332
finishing episode #467; episode reward: 0.6740579278138853
finishing episode #468; episode reward: 0.7581970770158586
finishing episode #469; episode reward: 0.7609831555753602
finishing episode #470; episode reward: 0.75013242790706
finishing episode #471; episode reward: 0.7518768465552172
finishing episode #472; episode reward: 0.6995898255125403
finishing episode #473; episode reward: 0.732443230665721
finishing episode #474; episode reward: 0.7263291731288234
finishing episode #475; episode reward: 0.7368209679724347
finishing episode #476; episode reward: 0.7549547826172067
finishing episode #477; episode reward: 0.7793281697903367
finishing episode #478; episode reward: 0.6562800068175205
finishing episode #479; episode reward: 0.728090617814435
finishing episode #480; episode reward: 0.6913741502324178
finishing episode #481; episode reward: 0.7055348627060627
finishing episode #482; episode reward: 0.7195280484630269
finishing episode #483; episode reward: 0.7617742030179504
finishing episode #484; episode reward: 0.631600060130007
finishing episode #485; episode reward: 0.5727612050795904
finishing episode #486; episode reward: 0.7363489195626093
finishing episode #487; episode reward: 0.699940518783009
finishing episode #488; episode reward: 0.6788826288586687
finishing episode #489; episode reward: 0.7359582783052435
finishing episode #490; episode reward: 0.7379487269751841
finishing episode #491; episode reward: 0.696877123640461
finishing episode #492; episode reward: 0.7121394744582893
finishing episode #493; episode reward: 0.6683279036218842
finishing episode #494; episode reward: 0.6972121684890827
finishing episode #495; episode reward: 0.7227326051903383
finishing episode #496; episode reward: 0.7637683372889287
finishing episode #497; episode reward: 0.7968267522036938
finishing episode #498; episode reward: 0.7120790838590252
finishing episode #499; episode reward: 0.7229514884413352
finishing episode #500; episode reward: 0.6753940954992953
finishing episode #501; episode reward: 0.7491202525159274
finishing episode #502; episode reward: 0.7061497747539167
finishing episode #503; episode reward: 0.7601699922382109
finishing episode #504; episode reward: 0.7342476877859765
finishing episode #505; episode reward: 0.7677922556305745
finishing episode #506; episode reward: 0.7718320171232744
finishing episode #507; episode reward: 0.7603629231306787
finishing episode #508; episode reward: 0.7657108174345372
finishing episode #509; episode reward: 0.7561288904617567
finishing episode #510; episode reward: 0.8409999513210255
finishing episode #511; episode reward: 0.8202710394044452
finishing episode #512; episode reward: 0.8125282393726968
finishing episode #513; episode reward: 0.7313879314858862
finishing episode #514; episode reward: 0.785486090356684
finishing episode #515; episode reward: 0.8526967273131963
